“Country”,“Year”,“Age”,“Sex”,“N_of_people_convicted”,“Mid_year_population_estimate”
"SCO",1989,16,Male,1000,36212
"SCO",1989,17,Male,1100,38222
"SCO",1989,18,Male,1200,40295
"SCO",1989,19,Male,1300,40217
"SCO",1989,20,Male,1400,42004
"SCO",1989,21,Male,1350,42623
"SCO",1989,22,Male,1300,43389
"SCO",1989,23,Male,1250,41610
"SCO",1989,24,Male,1200,43254
"SCO",1989,25,Male,1150,42131
"SCO",1989,26,Male,1100,41211
"SCO",1989,27,Male,1050,41025
"SCO",1989,28,Male,1000,40347
"SCO",1989,29,Male,950,39655
"SCO",1989,30,Male,900,38285
"SCO",1989,31,Male,850,36894
"SCO",1989,32,Male,800,35909
"SCO",1989,33,Male,750,35709
"SCO",1989,34,Male,700,33928
"SCO",1989,35,Male,650,33819
"SCO",1989,36,Male,600,33311
"SCO",1989,37,Male,550,31882
"SCO",1989,38,Male,500,33224
"SCO",1989,39,Male,450,33650
"SCO",1989,40,Male,400,34754
"SCO",1989,41,Male,350,36330
"SCO",1989,42,Male,300,39748
"SCO",1989,43,Male,250,30840
"SCO",1989,44,Male,200,29623
"SCO",1989,45,Male,150,30723
"SCO",1989,46,Male,100,30021
"SCO",1989,47,Male,50,28219
"SCO",1989,48,Male,49,26703
"SCO",1989,49,Male,48,27808
"SCO",1989,50,Male,47,27956
"SCO",1989,51,Male,46,27962
"SCO",1989,52,Male,45,27314
"SCO",1989,53,Male,44,27111
"SCO",1989,54,Male,43,26743
"SCO",1989,55,Male,42,26430
"SCO",1989,56,Male,41,25983
"SCO",1989,57,Male,40,26661
"SCO",1989,58,Male,39,26571
"SCO",1989,59,Male,38,26047
"SCO",1989,60,Male,37,25659
"SCO",1989,61,Male,36,24929
"SCO",1989,62,Male,35,24797
"SCO",1989,63,Male,34,25128
"SCO",1989,64,Male,33,24028
"SCO",1989,65,Male,32,23550
"SCO",1989,66,Male,31,22382
"SCO",1989,67,Male,30,23238
"SCO",1989,68,Male,29,22330
"SCO",1989,69,Male,28,22759
"SCO",1989,70,Male,27,15179
"SCO",1989,71,Male,26,14201
"SCO",1989,72,Male,25,14836
"SCO",1989,73,Male,24,14737
"SCO",1989,74,Male,23,14969
"SCO",1989,75,Male,22,14025
"SCO",1989,76,Male,21,13102
"SCO",1989,77,Male,20,11824
"SCO",1989,78,Male,19,10641
"SCO",1989,79,Male,18,9694
"SCO",1989,80,Male,17,8540
"SCO",1989,81,Male,16,7368
"SCO",1989,82,Male,15,6158
"SCO",1989,83,Male,14,5204
"SCO",1989,84,Male,13,4359
"SCO",1989,85,Male,12,3594
"SCO",1989,86,Male,11,2888
"SCO",1989,87,Male,10,2250
"SCO",1989,88,Male,9,1664
"SCO",1989,89,Male,8,1186
"SCO",1989,90 & over,Male,7,3154
"SCO",1990,16,Male,1100,33515
"SCO",1990,17,Male,1200,35965
"SCO",1990,18,Male,1300,37910
"SCO",1990,19,Male,1400,40285
"SCO",1990,20,Male,1500,40299
"SCO",1990,21,Male,1450,41800
"SCO",1990,22,Male,1400,42132
"SCO",1990,23,Male,1350,42574
"SCO",1990,24,Male,1300,40901
"SCO",1990,25,Male,1250,42443
"SCO",1990,26,Male,1200,41565
"SCO",1990,27,Male,1150,40834
"SCO",1990,28,Male,1100,40731
"SCO",1990,29,Male,1050,40188
"SCO",1990,30,Male,1000,39530
"SCO",1990,31,Male,950,38251
"SCO",1990,32,Male,900,36828
"SCO",1990,33,Male,850,35747
"SCO",1990,34,Male,800,35653
"SCO",1990,35,Male,750,33946
"SCO",1990,36,Male,700,33815
"SCO",1990,37,Male,650,33297
"SCO",1990,38,Male,600,31866
"SCO",1990,39,Male,550,33202
"SCO",1990,40,Male,500,33596
"SCO",1990,41,Male,450,34779
"SCO",1990,42,Male,400,36338
"SCO",1990,43,Male,350,39688
"SCO",1990,44,Male,300,30835
"SCO",1990,45,Male,250,29527
"SCO",1990,46,Male,200,30681
"SCO",1990,47,Male,150,29883
"SCO",1990,48,Male,149,28083
"SCO",1990,49,Male,148,26571
"SCO",1990,50,Male,147,27713
"SCO",1990,51,Male,146,27840
"SCO",1990,52,Male,145,27839
"SCO",1990,53,Male,144,27160
"SCO",1990,54,Male,143,26960
"SCO",1990,55,Male,142,26561
"SCO",1990,56,Male,141,26213
"SCO",1990,57,Male,140,25697
"SCO",1990,58,Male,139,26397
"SCO",1990,59,Male,138,26236
"SCO",1990,60,Male,137,25651
"SCO",1990,61,Male,136,25310
"SCO",1990,62,Male,135,24452
"SCO",1990,63,Male,134,24288
"SCO",1990,64,Male,133,24595
"SCO",1990,65,Male,132,23383
"SCO",1990,66,Male,131,22863
"SCO",1990,67,Male,130,21640
"SCO",1990,68,Male,129,22406
"SCO",1990,69,Male,128,21454
"SCO",1990,70,Male,127,21710
"SCO",1990,71,Male,126,14453
"SCO",1990,72,Male,125,13434
"SCO",1990,73,Male,124,13953
"SCO",1990,74,Male,123,13785
"SCO",1990,75,Male,122,13899
"SCO",1990,76,Male,121,12907
"SCO",1990,77,Male,120,11984
"SCO",1990,78,Male,119,10711
"SCO",1990,79,Male,118,9574
"SCO",1990,80,Male,117,8660
"SCO",1990,81,Male,116,7541
"SCO",1990,82,Male,115,6409
"SCO",1990,83,Male,114,5253
"SCO",1990,84,Male,113,4425
"SCO",1990,85,Male,112,3603
"SCO",1990,86,Male,111,2979
"SCO",1990,87,Male,110,2263
"SCO",1990,88,Male,109,1821
"SCO",1990,89,Male,108,1278
"SCO",1990,90 & over,Male,107,3271
"SCO",1991,16,Male,1200,32486
"SCO",1991,17,Male,1300,33200
"SCO",1991,18,Male,1400,35570
"SCO",1991,19,Male,1500,37894
"SCO",1991,20,Male,1600,40461
"SCO",1991,21,Male,1550,40199
"SCO",1991,22,Male,1500,41367
"SCO",1991,23,Male,1450,41563
"SCO",1991,24,Male,1400,41959
"SCO",1991,25,Male,1350,40329
"SCO",1991,26,Male,1300,41802
"SCO",1991,27,Male,1250,41163
"SCO",1991,28,Male,1200,40471
"SCO",1991,29,Male,1150,40331
"SCO",1991,30,Male,1100,39901
"SCO",1991,31,Male,1050,39365
"SCO",1991,32,Male,1000,38077
"SCO",1991,33,Male,950,36596
"SCO",1991,34,Male,900,35652
"SCO",1991,35,Male,850,35592
"SCO",1991,36,Male,800,33801
"SCO",1991,37,Male,750,33778
"SCO",1991,38,Male,700,33201
"SCO",1991,39,Male,650,31753
"SCO",1991,40,Male,600,33156
"SCO",1991,41,Male,550,33549
"SCO",1991,42,Male,500,34710
"SCO",1991,43,Male,450,36291
"SCO",1991,44,Male,400,39652
"SCO",1991,45,Male,350,30680
"SCO",1991,46,Male,300,29464
"SCO",1991,47,Male,250,30572
"SCO",1991,48,Male,249,29755
"SCO",1991,49,Male,248,27949
"SCO",1991,50,Male,247,26423
"SCO",1991,51,Male,246,27567
"SCO",1991,52,Male,245,27694
"SCO",1991,53,Male,244,27648
"SCO",1991,54,Male,243,26976
"SCO",1991,55,Male,242,26787
"SCO",1991,56,Male,241,26308
"SCO",1991,57,Male,240,25900
"SCO",1991,58,Male,239,25450
"SCO",1991,59,Male,238,26068
"SCO",1991,60,Male,237,25890
"SCO",1991,61,Male,236,25270
"SCO",1991,62,Male,235,24900
"SCO",1991,63,Male,234,23920
"SCO",1991,64,Male,233,23761
"SCO",1991,65,Male,232,23998
"SCO",1991,66,Male,231,22727
"SCO",1991,67,Male,230,22094
"SCO",1991,68,Male,229,20907
"SCO",1991,69,Male,228,21492
"SCO",1991,70,Male,227,20567
"SCO",1991,71,Male,226,20673
"SCO",1991,72,Male,225,13693
"SCO",1991,73,Male,224,12701
"SCO",1991,74,Male,223,13068
"SCO",1991,75,Male,222,12853
"SCO",1991,76,Male,221,12944
"SCO",1991,77,Male,220,11874
"SCO",1991,78,Male,219,11002
"SCO",1991,79,Male,218,9724
"SCO",1991,80,Male,217,8590
"SCO",1991,81,Male,216,7696
"SCO",1991,82,Male,215,6601
"SCO",1991,83,Male,214,5592
"SCO",1991,84,Male,213,4496
"SCO",1991,85,Male,212,3776
"SCO",1991,86,Male,211,3046
"SCO",1991,87,Male,210,2489
"SCO",1991,88,Male,209,1853
"SCO",1991,89,Male,208,1490
"SCO",1991,90 & over,Male,207,3329
"SCO",1992,16,Male,1300,31944
"SCO",1992,17,Male,1400,32164
"SCO",1992,18,Male,1500,32837
"SCO",1992,19,Male,1600,36129
